state_name,year,quarter_file,total_insurance_transactions,total_insurance_amount
chandigarh,2021,2.json,378,310943
puducherry,2021,1.json,372,351827
dadra-&-nagar-haveli-&-daman-&-diu,2021,2.json,368,275638
nagaland,2022,4.json,367,700864
dadra-&-nagar-haveli-&-daman-&-diu,2021,3.json,360,273596
tripura,2021,1.json,360,191531
arunachal-pradesh,2022,1.json,355,894107
mizoram,2022,4.json,350,612551
manipur,2024,2.json,346,647411
goa,2020,2.json,341,71100
chandigarh,2021,1.json,338,238576
meghalaya,2022,1.json,337,729211
nagaland,2023,4.json,331,822973
sikkim,2023,4.json,324,793745
arunachal-pradesh,2021,4.json,320,598459
nagaland,2023,1.json,320,704957
mizoram,2023,4.json,312,557950
mizoram,2022,3.json,310,471306
sikkim,2022,4.json,306,667214
ladakh,2024,1.json,291,614435
manipur,2024,3.json,285,587893
mizoram,2024,1.json,277,427693
manipur,2022,4.json,271,620655
sikkim,2023,2.json,270,628191
nagaland,2023,2.json,269,628890
nagaland,2023,3.json,268,632287
chandigarh,2020,3.json,264,70969
meghalaya,2021,4.json,263,451612
sikkim,2023,1.json,260,688605
dadra-&-nagar-haveli-&-daman-&-diu,2020,3.json,257,65504
sikkim,2023,3.json,251,698251
tripura,2020,3.json,249,61642
tripura,2020,4.json,244,149765
sikkim,2022,3.json,243,474940
ladakh,2023,4.json,242,718967
nagaland,2022,1.json,242,529223
sikkim,2022,1.json,239,685987
puducherry,2020,4.json,234,197955
dadra-&-nagar-haveli-&-daman-&-diu,2020,4.json,232,149513
ladakh,2023,3.json,232,649027
andaman-&-nicobar-islands,2021,3.json,230,305235
andaman-&-nicobar-islands,2021,1.json,225,244266
manipur,2023,4.json,225,476626
manipur,2023,1.json,222,632084
manipur,2022,2.json,218,553649
ladakh,2023,2.json,215,635831
mizoram,2024,2.json,214,331455
arunachal-pradesh,2021,3.json,212,371051
nagaland,2022,3.json,210,439669
jammu-&-kashmir,2020,2.json,206,48484
arunachal-pradesh,2021,2.json,204,224928
chandigarh,2020,4.json,200,153341
manipur,2022,3.json,200,403213
sikkim,2021,4.json,195,503532
arunachal-pradesh,2021,1.json,194,131611
ladakh,2021,3.json,192,174052
puducherry,2020,3.json,191,58399
mizoram,2021,2.json,187,124805
mizoram,2024,3.json,186,275746
nagaland,2022,2.json,186,380878
nagaland,2021,4.json,183,341424
manipur,2022,1.json,177,517854
mizoram,2023,1.json,171,326688
mizoram,2023,3.json,166,271799
ladakh,2022,4.json,162,410091
ladakh,2023,1.json,161,495736
sikkim,2022,2.json,160,383709
lakshadweep,2024,4.json,159,185542
chandigarh,2020,2.json,149,29537
manipur,2021,4.json,145,271789
meghalaya,2021,2.json,139,148434
meghalaya,2021,3.json,139,214554
andaman-&-nicobar-islands,2021,2.json,137,181504
ladakh,2022,3.json,137,369742
manipur,2021,1.json,136,72254
arunachal-pradesh,2020,3.json,135,39687
manipur,2020,3.json,134,45164
manipur,2021,2.json,127,81332
arunachal-pradesh,2020,4.json,125,84247
andaman-&-nicobar-islands,2020,4.json,124,157975
manipur,2023,2.json,123,341671
sikkim,2021,1.json,122,111777
mizoram,2023,2.json,119,232928
ladakh,2022,2.json,113,269446
meghalaya,2020,3.json,112,33615
puducherry,2020,2.json,112,22251
manipur,2021,3.json,111,133016
meghalaya,2021,1.json,107,128776
sikkim,2021,3.json,106,140552
mizoram,2021,4.json,100,175847
sikkim,2020,3.json,94,28000
sikkim,2021,2.json,93,122064
meghalaya,2020,4.json,92,71029
nagaland,2021,3.json,91,123643
manipur,2020,4.json,90,49057
nagaland,2020,3.json,89,20798
tripura,2020,2.json,88,22054
mizoram,2022,1.json,85,189428
nagaland,2021,2.json,85,139479
mizoram,2020,4.json,81,119124
mizoram,2021,3.json,81,83641
nagaland,2021,1.json,79,42973
ladakh,2021,4.json,76,195966
manipur,2023,3.json,76,193021
mizoram,2022,2.json,76,115090
ladakh,2022,1.json,75,193935
mizoram,2020,3.json,74,24691
sikkim,2020,4.json,67,70214
arunachal-pradesh,2020,2.json,65,14329
nagaland,2020,4.json,62,38836
manipur,2020,2.json,55,12554
lakshadweep,2023,4.json,53,78346
lakshadweep,2024,3.json,49,55312
ladakh,2021,2.json,46,86251
andaman-&-nicobar-islands,2020,3.json,41,15380
meghalaya,2020,2.json,41,8829
nagaland,2020,2.json,41,9791
lakshadweep,2022,3.json,38,41504
ladakh,2020,3.json,33,10260
ladakh,2021,1.json,32,34530
mizoram,2020,2.json,31,7322
ladakh,2020,4.json,27,34206
lakshadweep,2022,1.json,27,34664
lakshadweep,2023,1.json,26,30199
lakshadweep,2024,2.json,26,33630
sikkim,2020,2.json,21,4789
lakshadweep,2021,3.json,19,16034
lakshadweep,2022,2.json,18,27463
lakshadweep,2022,4.json,15,27135
lakshadweep,2023,2.json,15,38384
lakshadweep,2024,1.json,15,12935
ladakh,2020,2.json,14,2538
lakshadweep,2023,3.json,12,12407
lakshadweep,2021,4.json,11,17096
andaman-&-nicobar-islands,2020,2.json,6,1360
lakshadweep,2021,2.json,5,6962
lakshadweep,2020,3.json,4,1199
lakshadweep,2021,1.json,4,5225
