state_name,year,quarter_file,total_transactions,previous_quarter_transactions
lakshadweep,2023,4.json,63479,43757
lakshadweep,2024,1.json,81176,63479
lakshadweep,2024,2.json,109085,81176
lakshadweep,2024,3.json,157478,109085
lakshadweep,2024,4.json,197777,157478
madhya-pradesh,2018,1.json,8025395,NULL
madhya-pradesh,2018,2.json,10561412,8025395
madhya-pradesh,2018,3.json,17126985,10561412
madhya-pradesh,2018,4.json,21397555,17126985
madhya-pradesh,2019,1.json,37301049,21397555
madhya-pradesh,2019,2.json,40846013,37301049
madhya-pradesh,2019,3.json,53610411,40846013
madhya-pradesh,2019,4.json,68131989,53610411
madhya-pradesh,2020,1.json,79366746,68131989
madhya-pradesh,2020,2.json,76340573,79366746
madhya-pradesh,2020,3.json,108579881,76340573
madhya-pradesh,2020,4.json,153652541,108579881
madhya-pradesh,2021,1.json,201998498,153652541
madhya-pradesh,2021,2.json,223314680,201998498
madhya-pradesh,2021,3.json,311443334,223314680
madhya-pradesh,2021,4.json,404308084,311443334
madhya-pradesh,2022,1.json,472703058,404308084
madhya-pradesh,2022,2.json,544899829,472703058
madhya-pradesh,2022,3.json,731259559,544899829
madhya-pradesh,2022,4.json,898828268,731259559
madhya-pradesh,2023,1.json,734566970,898828268
madhya-pradesh,2023,2.json,848037060,734566970
madhya-pradesh,2023,3.json,978812593,848037060
madhya-pradesh,2023,4.json,1102294613,978812593
madhya-pradesh,2024,1.json,1286156614,1102294613
madhya-pradesh,2024,2.json,1435472057,1286156614
madhya-pradesh,2024,3.json,1537738457,1435472057
madhya-pradesh,2024,4.json,1685401835,1537738457
maharashtra,2018,1.json,16387034,NULL
maharashtra,2018,2.json,22285740,16387034
maharashtra,2018,3.json,31538538,22285740
maharashtra,2018,4.json,46090223,31538538
maharashtra,2019,1.json,75079069,46090223
maharashtra,2019,2.json,101149853,75079069
maharashtra,2019,3.json,148735581,101149853
maharashtra,2019,4.json,201260620,148735581
maharashtra,2020,1.json,238944081,201260620
maharashtra,2020,2.json,184790761,238944081
maharashtra,2020,3.json,268310924,184790761
maharashtra,2020,4.json,407621004,268310924
maharashtra,2021,1.json,517860240,407621004
maharashtra,2021,2.json,573616486,517860240
maharashtra,2021,3.json,792874060,573616486
maharashtra,2021,4.json,1010731502,792874060
maharashtra,2022,1.json,1169506438,1010731502
maharashtra,2022,2.json,1407533113,1169506438
maharashtra,2022,3.json,1486389417,1407533113
maharashtra,2022,4.json,1688775272,1486389417
maharashtra,2023,1.json,1848268499,1688775272
maharashtra,2023,2.json,2063717848,1848268499
maharashtra,2023,3.json,2290678587,2063717848
maharashtra,2023,4.json,2572162725,2290678587
maharashtra,2024,1.json,2835770481,2572162725
maharashtra,2024,2.json,3063494802,2835770481
maharashtra,2024,3.json,3287403995,3063494802
maharashtra,2024,4.json,3634231839,3287403995
manipur,2018,1.json,84069,NULL
manipur,2018,2.json,151721,84069
manipur,2018,3.json,189258,151721
manipur,2018,4.json,236110,189258
manipur,2019,1.json,265409,236110
manipur,2019,2.json,257425,265409
manipur,2019,3.json,345008,257425
manipur,2019,4.json,449344,345008
manipur,2020,1.json,818801,449344
manipur,2020,2.json,1083068,818801
manipur,2020,3.json,1420168,1083068
manipur,2020,4.json,1627852,1420168
manipur,2021,1.json,2303535,1627852
manipur,2021,2.json,3086275,2303535
