state_name,year,quarter_file,payment_type,total_transactions,total_amount
goa,2018,4.json,TOTAL,514755,1153005078.4738002
goa,2019,1.json,TOTAL,738812,1475323397.4567
goa,2019,2.json,TOTAL,768441,1591867103.6377
goa,2019,3.json,TOTAL,1092416,2000367191.564
goa,2019,4.json,TOTAL,1515272,2923460348.1751
goa,2020,1.json,TOTAL,1881237,3410371232.2589993
goa,2020,2.json,TOTAL,1482092,2183616429.729
goa,2020,3.json,TOTAL,1915531,3368343580.588
goa,2020,4.json,TOTAL,3801381,6899792748.04
goa,2021,1.json,TOTAL,5331549,9757242879.11
goa,2021,2.json,TOTAL,4710135,8012853587.2699995
goa,2021,3.json,TOTAL,6467763,10478425592.87
goa,2021,4.json,TOTAL,11088759,18627257116.260002
goa,2022,1.json,TOTAL,12214098,19816445402.889996
goa,2022,2.json,TOTAL,14216054,22873037759.629997
goa,2022,3.json,TOTAL,13188687,19574265274.96
goa,2022,4.json,TOTAL,17192674,24924986370.91
goa,2023,1.json,TOTAL,24195070,35096965775
goa,2023,2.json,TOTAL,26530590,38412206943
goa,2023,3.json,TOTAL,26999728,37375179974
goa,2023,4.json,TOTAL,33460978,44287671557
goa,2024,1.json,TOTAL,35013987,45351900260
goa,2024,2.json,TOTAL,37000806,47454830712
goa,2024,3.json,TOTAL,36762111,45913528012
goa,2024,4.json,TOTAL,46131536,56562589543
gujarat,2018,1.json,TOTAL,5948775,7577982255.210001
gujarat,2018,2.json,TOTAL,7745733,12162684770.83
gujarat,2018,3.json,TOTAL,11334149,17866404426.51
gujarat,2018,4.json,TOTAL,14733303,24830987102.87
gujarat,2019,1.json,TOTAL,24991451,35856080308.37
gujarat,2019,2.json,TOTAL,28981842,49320615217.99
gujarat,2019,3.json,TOTAL,38228649,59462694963.43
gujarat,2019,4.json,TOTAL,42547632,76690662055.65999
gujarat,2020,1.json,TOTAL,47326417,86995076621.86
gujarat,2020,2.json,TOTAL,47420185,80387846359.72
gujarat,2020,3.json,TOTAL,59290179,111921752484.81999
gujarat,2020,4.json,TOTAL,77828547,148392829782.4
gujarat,2021,1.json,TOTAL,94774565,183700812340
gujarat,2021,2.json,TOTAL,111841396,210162486650
gujarat,2021,3.json,TOTAL,149248407,272624299513.30002
gujarat,2021,4.json,TOTAL,182987325,342382839327.5
gujarat,2022,1.json,TOTAL,210547146,392547817565.80005
gujarat,2022,2.json,TOTAL,252052796,446798220499.60004
gujarat,2022,3.json,TOTAL,303239732,497437692884.89996
gujarat,2022,4.json,TOTAL,341156018,567917726133.3
gujarat,2023,1.json,TOTAL,362511326,597826711120
gujarat,2023,2.json,TOTAL,416922553,645407563843
gujarat,2023,3.json,TOTAL,479303590,707736900536
gujarat,2023,4.json,TOTAL,534115578,795087226414
gujarat,2024,1.json,TOTAL,606576671,871620180614
gujarat,2024,2.json,TOTAL,690395153,910625440908
gujarat,2024,3.json,TOTAL,757441250,963551596306
gujarat,2024,4.json,TOTAL,827374966,1076014871214
haryana,2018,1.json,TOTAL,4480770,6793511515.01
haryana,2018,2.json,TOTAL,6150931,11320414442.340002
haryana,2018,3.json,TOTAL,8262024,16375139007.21
haryana,2018,4.json,TOTAL,12950183,25390876016.92
haryana,2019,1.json,TOTAL,22135775,34051655722.2
haryana,2019,2.json,TOTAL,22741816,42501539813.43
haryana,2019,3.json,TOTAL,30343531,52489119199.88
haryana,2019,4.json,TOTAL,37825985,69359719868.94
haryana,2020,1.json,TOTAL,44036087,81976214558.39
haryana,2020,2.json,TOTAL,41781050,80711264924.96999
haryana,2020,3.json,TOTAL,57938179,109567950446.12999
haryana,2020,4.json,TOTAL,83171439,159998571019.9
haryana,2021,1.json,TOTAL,90252784,168938664297.19
haryana,2021,2.json,TOTAL,105680856,200357668902.1
haryana,2021,3.json,TOTAL,140459693,240827413959.1
haryana,2021,4.json,TOTAL,169686975,309240605482.8
haryana,2022,1.json,TOTAL,191988609,341303801652.8
